construction,translation
Imperative,"""verb!, please verb"""
Volitional,"""Let's verb"""
Negative Volitional,"""Let's not verb"""
T-Form,"""[I] verb and [then]."" ""[I] verb while..."" ""Because [I] verb, [I] verb so that..."" ""[I] [x] by verbing"" ""please verb"" And auxiliary verb linker"
Past,"""[I] verbed"""
Negative,"""[I] don't verb"""
Past-Negative,"""[I] did not verb"""
Continuous,"""[I] am verbing"""
Past Continuous,"""[I] was verbing"""
Negative Continuous,"""[I] am not verbing"""
Past Negative Continuous,"""[I] wasn't verbing"""
Completion,"""[I'm] ending up verbing"""
Past Completion,"""[I] ended up verbing"""
Negative Completion,"""[I'm] ending up not verbing"""
Past Negative Completion,"""[I] ended up not verbing"""
Resultant,"""It has been verbed [and remains]"""
Past Resultant,"""It has been verbed [at that time]"""
Negative Resultant,"""It has not been verbed [and still isn't]"""
Past Negative Resultant,"""It has not been verbed [at the time]"""
Potential ,"""[I] can verb"""
Past Potential,"""[I] could verb / [I] was able to verb"""
Negative Potential,"""[I] can not verb"""
Past Negative Potential,"""[I] cound not verb / [I] was not able to verb"""
Continuous Potential,"""[I] can continue verbing"""
Negative Continuous Potential,"""[I] can not continue verbing"""
Past Continuous Potential,"""[I] could continue verbing"""
Past Negative Continuous Potential,"""[I] could not continue verbing"""
Completion Potential,"""[I] end up being able to verb"", ""[I] manage to verb (but wish I hadnt')"""
Completion Past  Potential,"""[I] ended up being able to verb"", ""[I] managed to verb (but wish I hadnt')"""
Negative Completion Potential,"""[I] end up not being able to verb"", ""[I] cannot manage to verb (but wish I had)"""
Past Negative Completion Potential,"""[I] end up not being able to verb"", ""[I] cannot manage to verb (but wish I had)"""
Passive,"""[it] is verbed"""
Past Passive,"""[it] was verbed"""
Negative Passive,"""[it] is not verbed"
Past Negative Passive,"""[it] is not verbed"
Continuous Passive,"""[it] is being verbed"
Past Continuous Passive,"""[it] was being verbed"
Negative Continuous Passive,"""[it] is not being verbed"
Past Negative Continuous Passive,"""[it] was not being verbed"
Completion Passive ,"""[it] ends up being verbed"""
Past Completion Passive ,"""[it] ended up being verbed"""
Negative Completion Passive ,"""[it] does not end up being verbed"""
Past Negative Completion Passive ,"""[it] did not end up being verbed"""
Causative,"""[I] make/let [you/someone] verb"""
Past Causative,"""[I] made/let [you/someone] verb"""
Negative Causative,"""[I] don't make/let [you/someone] verb"""
Past Negative Causative,"""[I] didn't make/let [you/somene] verb"""
Continuous Causative,"""[I] am making/letting [you/someone] verb"""
Negative Continuous Causative,"""[I] am not making/letting [you/someone] verb"""
Past Negative Continuous Causative,"""[I] hadn't been letting [you/someone] verb"" "
Completion Causative,"""[I] end up making/letting [you/someone] verb"", ""[I] make [you,someone] verb (regretably)"""
