Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,simple present,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,ます,,,,,
,past,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,ました,,,,,
,negative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,ません,,,,,
,continuous,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,います,,,,,
,completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいます,,,,,
,resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,います,あります,,,,
,potential,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,ます,,,,,
,passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れます,,,,,
,causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せます,,,,,
,conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・れ,ば,たら,なら,と,,
,desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,たいです,,,,,
,deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べき,,,,,
,volitional,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,ましょう,,,,,
,imperative,Imperative,え・て・れ・け・げ・め・ね・べ・せ・ろ,,,,,,
Tier 2,,,,,,,,,
,past negative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,ませんでした,,,,,
,past continuous,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いません,,,,,
,past completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいました,,,,,
,past resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いました,ありました,,,,
,past potential,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,ました,,,,,
,past passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ｘ,れました,,,,,
,past causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せました,,,,,
,past conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たら,,,,,
,past desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,たかったです,,,,,
,past deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきだったです,,,,,
,negative continuous,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いません,,,,,
,,,,,,,,,
,negative resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いません,ありません,,,,
,negative potential,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,ません,,,,,
,negative passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れません,,,,,
,negative causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せません,,,,,
,negative conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,なければ,,,,,
,negative desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,たくありません,たくないです,,,,
,negative deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきでない,,,,,
,continuous potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられます,,,,,
,continuous passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられます,,,,,
,continuous conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いれば,,,,,
,continuous desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたいです,,,,,
,continuous deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきです,,,,,
,completion continuous,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっています,,,,,
,completion resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっています,,,,,
,completion potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえます,,,,,
,completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえば,,,,,
,completion desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたいです,,,,,
,completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきです,,,,,
,resultant past,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いました,ありました,,,,
,resultant negative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,ないです,あない,,,,
,resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いれば,あれば,,,,
,potential conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れば,,,,,
,potential desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たいです,,,,,
,potential deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,るべきです,,,,,
,passive conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れれば,れたら,れるなら,れると,,
,passive desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れたいです,,,,,
,passive deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れるべきです,,,,,
,causative continuous,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せています,,,,,
,causative resultant,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せています,せてあります,,,,
,causative potential,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられます,,,,,
,causative passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられます,,,,,
,causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せれば,せたら,せれるなら,せれると,,
,causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたいです,,,,,
