Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,simple present,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,,,,,,
,past,Modified T,った・った・った・いた・いだ・んだ・んだ・んだ・した・た,た,,,,,
,negative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・,ない,,,,,
,continuous,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いる,,,,,
,completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまう,,,,,
,resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いる,ある,,,,
,potential,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,る,,,,,
,passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れる,,,,,
,causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せる,,,,,
,conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,ば,たら,なら,と,,
,desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・,たい,,,,,
,deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べき,,,,,
,volitional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・,よう,,,,,
,imperative,Imperative,え・て・れ・け・げ・め・ね・べ・せ・ろ,,,,,,
Tier 2,,,,,,,,,
,negative past,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・,なかった,,,,,
,past continuous,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いた,,,,,
,past completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまった,,,,,
,past resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いた,てあった,,,,
,past potential,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,た,,,,,
,past passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・,れた,,,,,
,past causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せた,,,,,
,past conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たら,,,,,
,past desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・,たかった,,,,,
,past deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきだった,,,,,
,negative continuous,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いない,,,,,
,,,,,,,,,
,negative resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,ない,あない,,,,
,negative potential,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,ない,,,,,
,negative passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れない,,,,,
,negative causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せない,,,,,
,negative conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,なければ,,,,,
,negative desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・,たくない,,,,,
,negative deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきでない,,,,,
,continuous potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられる,,,,,
,continuous passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられる,,,,,
,continuous conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いれば,,,,,
,continuous desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたい,,,,,
,continuous deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべき,,,,,
,continuous completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっている,,,,,
,completion resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっている,,,,,
,completion potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえる,,,,,
,completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえば,,,,,
